,Chart_Date,value,key
156,6/4/2020,0.0397,min_val
157,6/5/2020,0.0397,min_val
158,6/6/2020,0.0397,min_val
159,6/7/2020,0.0397,min_val
160,6/8/2020,0.0397,min_val
161,6/9/2020,0.0397,min_val
162,6/10/2020,0.0397,min_val
163,6/11/2020,0.0397,min_val
164,6/12/2020,0.0397,min_val
165,6/13/2020,0.0397,min_val
166,6/14/2020,0.0397,min_val
167,6/15/2020,0.0397,min_val
168,6/16/2020,0.0397,min_val
169,6/17/2020,0.0397,min_val
170,6/18/2020,0.0397,min_val
171,6/19/2020,0.0397,min_val
172,6/20/2020,0.0397,min_val
173,6/21/2020,0.0397,min_val
174,6/22/2020,0.0397,min_val
175,6/23/2020,0.0397,min_val
176,6/24/2020,0.0397,min_val
177,6/25/2020,0.0397,min_val
178,6/26/2020,0.0397,min_val
179,6/27/2020,0.0397,min_val
180,6/28/2020,0.0397,min_val
181,6/29/2020,0.0397,min_val
182,6/30/2020,0.0397,min_val
183,7/1/2020,0.0397,min_val
184,7/2/2020,0.0397,min_val
185,7/3/2020,0.0397,min_val
186,7/4/2020,0.0397,min_val
187,7/5/2020,0.0397,min_val
188,7/6/2020,0.0397,min_val
189,7/7/2020,0.0397,min_val
190,7/8/2020,0.0397,min_val
191,7/9/2020,0.0397,min_val
192,7/10/2020,0.0397,min_val
193,7/11/2020,0.0397,min_val
194,7/12/2020,0.0397,min_val
195,7/13/2020,0.0397,min_val
196,7/14/2020,0.0397,min_val
197,7/15/2020,0.0397,min_val
198,7/16/2020,0.0397,min_val
199,7/17/2020,0.0397,min_val
200,7/18/2020,0.0397,min_val
201,7/19/2020,0.0397,min_val
202,7/20/2020,0.0397,min_val
203,7/21/2020,0.0397,min_val
204,7/22/2020,0.0397,min_val
205,7/23/2020,0.0397,min_val
206,7/24/2020,0.0397,min_val
207,7/25/2020,0.0397,min_val
208,7/26/2020,0.0397,min_val
209,7/27/2020,0.0397,min_val
210,7/28/2020,0.0397,min_val
211,7/29/2020,0.0397,min_val
212,7/30/2020,0.0397,min_val
213,7/31/2020,0.0397,min_val
214,8/1/2020,0.0397,min_val
215,8/2/2020,0.0397,min_val
216,8/3/2020,0.0397,min_val
217,8/4/2020,0.0397,min_val
218,8/5/2020,0.0397,min_val
219,8/6/2020,0.0397,min_val
220,8/7/2020,0.0397,min_val
